instance_5 -- 15 containers -- 5 carriers -- 5 chassis -- 30-day horizon,,,,,,,,,,,,,,
15.0,5.0,5.0,,300,15,,,,,,,,,
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
c,b,d,e,c,c,a,b,b,d,b,c,b,e,e
10,13,20,15,10,10,9,10,13,20,13,10,10,3,3
3.87,2.17,3.54,1.41,1.66,2.8,2.62,2.36,2.18,2.87,2.4,3.22,2.6,2.75,2.94
12,14,7,8,3,9,6,13,2,1,15,5,4,10,11
a,4,b,7,c,3,d,4,e,6,,,,,
a,150,b,200,c,150,d,150,e,150,,,,,
a,14,b,14,c,21,d,14,e,14,,,,,
a,150,b,150,c,100,d,150,e,150,,,,,
leg_1,0.125,leg_2,0.125,leg_3,0.125,,,,,,,,,
,,,,,,,,,,,,,,
