instance_9 -- 25 containers -- 3 carriers -- 5 chassis -- 30-day horizon,,,,,,,,,,,,,,,,,,,,,,,,
25.0,3.0,5.0,,300,15,,,,,,,,,,,,,,,,,,,
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0
b,b,a,a,b,a,b,b,a,b,b,c,a,b,a,c,a,c,a,a,a,c,a,c,c
25,4,27,9,4,9,25,4,29,25,25,17,9,4,27,17,29,28,0,0,0,17,27,17,29
3.34,1.29,2.9,3.26,2.55,1.95,1.89,3.3,1.82,1.59,3.06,4.25,1.13,2.58,3.5,2.84,3.17,2.08,4.01,3.15,2.66,1.75,2.26,3.02,2.41
6,2,14,3,13,20,15,8,12,23,4,24,7,19,11,22,25,9,21,17,18,1,16,5,10
a,3,b,5,c,2,,,,,,,,,,,,,,,,,,,
a,300,b,300,c,150,,,,,,,,,,,,,,,,,,,
a,14,b,21,c,28,,,,,,,,,,,,,,,,,,,
a,100,b,100,c,50,,,,,,,,,,,,,,,,,,,
leg_1,0.125,leg_2,0.125,leg_3,0.125,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
