12_instance -- 12 containers -- 3 carriers -- 3 chassis -- 21-day horizon,,,,,,,,,,,
12.0,3.0,3.0,200,15,,,,,,,
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
a,b,a,b,b,c,a,c,a,a,a,c
9,7,7,7,7,6,15,12,9,9,15,6
2.6731484892945785,3.1512902868403145,2.8166907028228287,2.6630357717677327,2.370144032854053,2.9386240897885396,2.4021252022378583,3.8603842794103604,4.339661545881471,2.279944527387232,3.4190826893831465,2.6223412854311605
7,12,5,11,3,9,2,8,10,4,1,6
a,6,b,4,c,2,,,,,,
a,100,b,300,c,300,,,,,,
a,21,b,28,c,28,,,,,,
a,100,b,50,c,100,,,,,,
leg_1,0.0625,leg_2,0.125,leg_3,0.125,,,,,,
